h,type,mz,mx
1.000000,support,0.965225,0.261120
1.500000,novel,0.941800,0.332685
1.800000,novel,0.885825,0.457600
2.100000,support,0.814900,0.571595
2.400000,novel,0.709925,0.691591
2.600000,novel,0.624738,0.769281
2.800000,support,0.540863,0.836259
2.900000,novel,0.500825,0.864508
3.000000,novel,0.462500,0.890593
3.100000,novel,0.437512,0.904970
3.300000,support,0.387462,0.933658
3.400000,novel,0.372063,0.942046
3.600000,novel,0.342625,0.955540
3.800000,novel,0.318450,0.967003
4.000000,novel,0.303575,0.973175
4.500000,novel,0.272675,0.984759
5.000000,novel,0.258987,0.988761
5.500000,novel,0.252300,0.991193
6.000000,novel,0.244975,0.992702
6.500000,novel,0.243150,0.993109
7.000000,support,0.239100,0.993930
