h,type,overlap_2000,overlap_5000,overlap_20000
1.000000e+00,support,9.992530e-01,9.996510e-01,9.997350e-01
1.500000e+00,novel,9.977910e-01,9.988460e-01,9.994790e-01
2.000000e+00,support,9.955180e-01,9.977230e-01,9.990800e-01
2.500000e+00,novel,9.860590e-01,9.941560e-01,9.981450e-01
2.800000e+00,novel,9.815250e-01,9.916970e-01,9.974590e-01
3.000000e+00,support,9.811490e-01,9.913160e-01,9.975170e-01
3.200000e+00,novel,9.820470e-01,9.916370e-01,9.977720e-01
3.500000e+00,novel,9.840300e-01,9.922940e-01,9.981400e-01
4.000000e+00,support,9.875770e-01,9.933560e-01,9.986220e-01
4.500000e+00,novel,9.904760e-01,9.943160e-01,9.988920e-01
5.000000e+00,support,9.923640e-01,9.950800e-01,9.990270e-01
5.500000e+00,novel,9.935310e-01,9.956790e-01,9.990840e-01
6.000000e+00,support,9.942450e-01,9.961370e-01,9.991070e-01
6.500000e+00,novel,9.946630e-01,9.964730e-01,9.991130e-01
7.000000e+00,support,9.948690e-01,9.966960e-01,9.990860e-01
