h,chi_F,chi_F_err
1.000000000000000000e+00,1.325133964419364929e-01,1.359947345341055124e-02
1.071428571428571175e+00,1.440294235944747925e-01,1.268566712466596969e-02
1.142857142857142794e+00,1.535304561257362366e-01,1.146340620462405965e-02
1.214285714285713969e+00,1.643013432621955872e-01,8.237131387475669572e-03
1.285714285714285587e+00,1.733268499374389648e-01,8.492997414710667242e-03
1.357142857142857206e+00,1.862642839550971985e-01,8.953080045471385751e-03
1.428571428571428603e+00,1.984215602278709412e-01,7.805473510548040748e-03
1.500000000000000000e+00,2.136713862419128418e-01,9.063920958647841281e-03
1.571428571428571175e+00,2.264876961708068848e-01,9.782036887850710516e-03
1.642857142857142794e+00,2.420804649591445923e-01,9.489398358914774220e-03
1.714285714285713969e+00,2.561982721090316772e-01,9.391037049267832518e-03
1.785714285714285587e+00,2.783902734518051147e-01,9.765251881478668669e-03
1.857142857142856762e+00,2.949580848217010498e-01,8.881030428916213137e-03
1.928571428571428381e+00,3.137788325548171997e-01,9.155990434453135929e-03
2.000000000000000000e+00,3.254713267087936401e-01,1.204808732190154434e-02
2.071428571428571175e+00,3.378987908363342285e-01,1.361779656446366303e-02
2.142857142857142794e+00,3.471885025501251221e-01,1.363294598499006222e-02
2.214285714285714413e+00,3.526522815227508545e-01,1.257695169853852504e-02
2.285714285714285143e+00,3.493431955575942993e-01,1.227321663439027988e-02
2.357142857142856762e+00,3.486095815896987915e-01,9.944264686183675386e-03
2.428571428571428381e+00,3.346786946058273315e-01,1.078737305792084981e-02
2.500000000000000000e+00,3.190747946500778198e-01,9.971248099305588322e-03
2.571428571428571175e+00,2.966070473194122314e-01,9.030689456541540414e-03
2.642857142857142794e+00,2.722278088331222534e-01,9.581029551875000147e-03
2.714285714285714413e+00,2.470385953783988953e-01,1.059702688572682246e-02
2.785714285714285143e+00,2.189236208796501160e-01,1.005420776419867386e-02
2.857142857142856762e+00,1.918536499142646790e-01,1.009288544902947095e-02
2.928571428571428381e+00,1.635508015751838684e-01,9.849527521449311096e-03
3.000000000000000000e+00,1.388210579752922058e-01,9.472041765225503243e-03
3.071428571428571175e+00,1.175689436495304108e-01,8.580264831487894803e-03
3.142857142857142794e+00,9.934111312031745911e-02,7.179320249031019216e-03
3.214285714285713524e+00,8.286055549979209900e-02,6.374198880868969103e-03
3.285714285714285143e+00,6.925920397043228149e-02,4.926068335561228570e-03
3.357142857142856762e+00,5.737118050456047058e-02,4.041630713771725801e-03
3.428571428571428381e+00,4.827489145100116730e-02,2.540809769962302893e-03
3.500000000000000000e+00,4.142883978784084320e-02,2.250814133033548874e-03
3.571428571428571175e+00,3.406495042145252228e-02,2.160931509186969114e-03
3.642857142857143238e+00,2.802067156881093979e-02,2.909339140250093592e-03
3.714285714285713524e+00,2.343219798058271408e-02,3.112628262900258083e-03
3.785714285714285587e+00,1.984832994639873158e-02,3.650029558389698142e-03
3.857142857142856762e+00,1.685826107859611511e-02,3.923296015151222019e-03
3.928571428571427937e+00,1.441279752179980278e-02,4.038194363974421941e-03
4.000000000000000000e+00,1.235914090648293495e-02,4.147181554613584877e-03
4.071428571428571175e+00,1.103615481406450272e-02,4.054804812045824207e-03
4.142857142857142350e+00,1.001790305599570274e-02,3.942764392261066154e-03
4.214285714285713524e+00,8.910208009183406830e-03,3.786138996536545648e-03
4.285714285714285587e+00,7.720934925600885478e-03,3.656980913636679112e-03
4.357142857142856762e+00,6.756373913958668709e-03,3.482665058492352694e-03
4.428571428571428825e+00,5.846893647685647011e-03,3.315453638042388344e-03
4.500000000000000000e+00,5.067853257060051832e-03,3.143582888617712633e-03
