h,chi_F
1.000000000000000000e+00,1.584525274305434439e-01
1.035353535353535248e+00,1.603037831125722623e-01
1.070707070707070718e+00,1.623390717110995696e-01
1.106060606060605966e+00,1.645782856757744828e-01
1.141414141414141437e+00,1.670428769578136963e-01
1.176767676767676685e+00,1.697557793928899106e-01
1.212121212121212155e+00,1.727412763824600628e-01
1.247474747474747403e+00,1.760248015025327462e-01
1.282828282828282873e+00,1.796326574770670259e-01
1.318181818181818121e+00,1.835916371783236078e-01
1.353535353535353591e+00,1.879285284276651091e-01
1.388888888888888840e+00,1.926694824606343115e-01
1.424242424242424310e+00,1.978392258682325489e-01
1.459595959595959558e+00,2.034600955830057067e-01
1.494949494949494806e+00,2.095508790323842019e-01
1.530303030303030276e+00,2.161254464102895789e-01
1.565656565656565746e+00,2.231911699280548778e-01
1.601010101010100994e+00,2.307471372829009715e-01
1.636363636363636243e+00,2.387821843515613440e-01
1.671717171717171713e+00,2.472727945227949364e-01
1.707070707070707183e+00,2.561809417628357899e-01
1.742424242424242431e+00,2.654519873862156709e-01
1.777777777777777679e+00,2.750127783837380546e-01
1.813131313131313149e+00,2.847701314482705692e-01
1.848484848484848397e+00,2.946099189343658331e-01
1.883838383838383645e+00,3.043969927455876801e-01
1.919191919191919116e+00,3.139761823689399822e-01
1.954545454545454586e+00,3.231745762531231803e-01
1.989898989898989834e+00,3.318052331484188100e-01
2.025252525252525082e+00,3.396723720753638265e-01
2.060606060606060552e+00,3.465779550336267611e-01
2.095959595959596022e+00,3.523294179436893825e-01
2.131313131313131493e+00,3.567481402095163956e-01
2.166666666666666519e+00,3.596780951603105736e-01
2.202020202020201989e+00,3.609940197889880964e-01
2.237373737373737015e+00,3.606084095315680860e-01
2.272727272727272485e+00,3.584766939901288252e-01
2.308080808080807955e+00,3.546000901465612420e-01
2.343434343434343425e+00,3.490258413757982847e-01
2.378787878787878896e+00,3.418448085286028837e-01
2.414141414141414366e+00,3.331866421529730560e-01
2.449494949494949392e+00,3.232129941149696761e-01
2.484848484848484862e+00,3.121093908617533219e-01
2.520202020202019888e+00,3.000764658041458754e-01
2.555555555555555358e+00,2.873212386181967504e-01
2.590909090909090828e+00,2.740490396370652282e-01
2.626262626262626299e+00,2.604565378666859887e-01
2.661616161616161769e+00,2.467261631615183803e-01
2.696969696969696795e+00,2.330220475390058499e-01
2.732323232323232265e+00,2.194874644257541196e-01
2.767676767676767291e+00,2.062436335914786811e-01
2.803030303030302761e+00,1.933896852209561201e-01
2.838383838383838231e+00,1.810035406994807972e-01
2.873737373737373701e+00,1.691434610167899533e-01
2.909090909090909172e+00,1.578500307390541257e-01
2.944444444444444642e+00,1.471483766386641745e-01
2.979797979797979668e+00,1.370504577772902188e-01
3.015151515151515138e+00,1.275573035810508848e-01
3.050505050505050608e+00,1.186611131377091899e-01
3.085858585858585634e+00,1.103471606169292851e-01
3.121212121212121104e+00,1.025954776496431908e-01
3.156565656565656575e+00,9.538230332345885853e-02
3.191919191919192045e+00,8.868130653255651419e-02
3.227272727272727071e+00,8.246459506846290366e-02
3.262626262626262541e+00,7.670353129108267720e-02
3.297979797979798011e+00,7.136937732663277412e-02
3.333333333333333037e+00,6.643379309579798553e-02
3.368686868686868507e+00,6.186920987242639641e-02
3.404040404040403978e+00,5.764910051071972519e-02
3.439393939393939448e+00,5.374816520003494053e-02
3.474747474747474474e+00,5.014244935397407787e-02
3.510101010101009944e+00,4.680940793440156039e-02
3.545454545454545414e+00,4.372792815247798781e-02
3.580808080808080884e+00,4.087832060420916458e-02
3.616161616161615910e+00,3.824228702121472423e-02
3.651515151515151381e+00,3.580287120828844899e-02
3.686868686868686851e+00,3.354439852682868095e-02
3.722222222222222321e+00,3.145240801182476453e-02
3.757575757575757347e+00,2.951358038671321460e-02
3.792929292929292817e+00,2.771566442595640306e-02
3.828282828282828287e+00,2.604740351937760018e-02
3.863636363636363313e+00,2.449846378301399896e-02
3.898989898989898784e+00,2.305936466635264206e-02
3.934343434343434254e+00,2.172141273469378048e-02
3.969696969696969724e+00,2.047663899471006271e-02
4.005050505050505194e+00,1.931774002988554534e-02
4.040404040404039776e+00,1.823802301326356984e-02
4.075757575757576134e+00,1.723135459683542564e-02
4.111111111111110716e+00,1.629211358630032469e-02
4.146464646464646187e+00,1.541514725855444926e-02
4.181818181818181657e+00,1.459573117083419642e-02
4.217171717171717127e+00,1.382953223757218270e-02
4.252525252525252597e+00,1.311257489975327720e-02
4.287878787878787179e+00,1.244121015475952233e-02
4.323232323232323537e+00,1.181208725326934536e-02
4.358585858585858119e+00,1.122212785597970913e-02
4.393939393939393590e+00,1.066850245426967207e-02
4.429292929292929060e+00,1.014860886893393689e-02
4.464646464646464530e+00,9.660052662240480037e-03
4.500000000000000000e+00,9.200629283394457306e-03
