h,type,mz,mx
1.000000,support,0.965925,0.258202
1.500000,novel,0.942225,0.331544
1.800000,novel,0.884225,0.461437
2.100000,support,0.817638,0.567699
2.400000,novel,0.724225,0.675219
2.600000,novel,0.637825,0.754375
2.800000,novel,0.543763,0.830627
2.900000,novel,0.497263,0.865715
3.000000,novel,0.461550,0.890951
3.100000,novel,0.435425,0.905847
3.300000,support,0.397013,0.929849
3.400000,novel,0.384537,0.937689
3.600000,novel,0.362437,0.948024
3.800000,novel,0.343037,0.958091
4.000000,novel,0.328763,0.964250
4.500000,novel,0.296875,0.976244
5.000000,novel,0.282988,0.981058
5.500000,novel,0.267913,0.985900
6.000000,novel,0.253262,0.990583
6.500000,novel,0.246212,0.993011
7.000000,support,0.237137,0.994143
