h,type,overlap_2000,overlap_2000_err,overlap_5000,overlap_5000_err,overlap_20000,overlap_20000_err
1.000000,support,0.998815,0.000188,0.999492,0.000082,0.999788,0.000025
1.500000,novel,0.997702,0.000223,0.998864,0.000113,0.998948,0.000370
2.000000,support,0.993591,0.001321,0.997340,0.000197,0.998900,0.000177
2.500000,novel,0.982134,0.002623,0.993886,0.000382,0.997546,0.000293
2.800000,novel,0.978014,0.001712,0.992097,0.000492,0.997599,0.000312
3.000000,support,0.977913,0.001381,0.991288,0.000562,0.997715,0.000242
3.200000,novel,0.978944,0.001266,0.990850,0.000646,0.997931,0.000159
3.500000,novel,0.981281,0.001277,0.991166,0.000627,0.998203,0.000094
4.000000,support,0.985373,0.001148,0.992591,0.000454,0.998586,0.000090
4.500000,novel,0.988832,0.000746,0.993806,0.000411,0.998883,0.000059
5.000000,support,0.991250,0.000416,0.994622,0.000404,0.999053,0.000033
5.500000,novel,0.992877,0.000297,0.995299,0.000375,0.999156,0.000032
6.000000,support,0.993656,0.000327,0.995838,0.000347,0.999211,0.000034
7.000000,support,0.993988,0.000472,0.996554,0.000305,0.999207,0.000049
