h,chi_F
1.000000000000000000e+00,2.492452710866928101e-01
1.071428571428571397e+00,2.663083374500274658e-01
1.142857142857142794e+00,2.799865603446960449e-01
1.214285714285714191e+00,2.922343909740447998e-01
1.285714285714285587e+00,3.005743622779846191e-01
1.357142857142857206e+00,3.079367578029632568e-01
1.428571428571428603e+00,3.159056901931762695e-01
1.500000000000000000e+00,3.220797777175903320e-01
1.571428571428571397e+00,3.289439678192138672e-01
1.642857142857142794e+00,3.387207686901092529e-01
1.714285714285714191e+00,3.505713343620300293e-01
1.785714285714285587e+00,3.658897578716278076e-01
1.857142857142857206e+00,3.871434330940246582e-01
1.928571428571428381e+00,4.163382947444915771e-01
2.000000000000000000e+00,4.514361917972564697e-01
2.071428571428571175e+00,4.976998269557952881e-01
2.142857142857142794e+00,5.509589314460754395e-01
2.214285714285714413e+00,6.096503138542175293e-01
2.285714285714285587e+00,6.661843061447143555e-01
2.357142857142856762e+00,7.249915599822998047e-01
2.428571428571428381e+00,7.597845196723937988e-01
2.500000000000000000e+00,7.692886590957641602e-01
2.571428571428571175e+00,7.572285532951354980e-01
2.642857142857142794e+00,7.243856787681579590e-01
2.714285714285714413e+00,6.724356412887573242e-01
2.785714285714285587e+00,6.067284941673278809e-01
2.857142857142856762e+00,5.375887751579284668e-01
2.928571428571428381e+00,4.712488055229187012e-01
3.000000000000000000e+00,4.070379734039306641e-01
3.071428571428571175e+00,3.474481999874114990e-01
3.142857142857142794e+00,2.928592264652252197e-01
3.214285714285713969e+00,2.451734840869903564e-01
3.285714285714285587e+00,2.049426138401031494e-01
3.357142857142857206e+00,1.693384647369384766e-01
3.428571428571428381e+00,1.390223354101181030e-01
3.500000000000000000e+00,1.136166825890541077e-01
3.571428571428571175e+00,9.293410927057266235e-02
3.642857142857142794e+00,7.551221549510955811e-02
3.714285714285713969e+00,6.255207955837249756e-02
3.785714285714285587e+00,5.117240548133850098e-02
3.857142857142856762e+00,4.275302588939666748e-02
3.928571428571428381e+00,3.537395969033241272e-02
4.000000000000000000e+00,2.984943240880966187e-02
4.071428571428571175e+00,2.547452226281166077e-02
4.142857142857142350e+00,2.197737991809844971e-02
4.214285714285713524e+00,1.925742253661155701e-02
4.285714285714285587e+00,1.706944406032562256e-02
4.357142857142856762e+00,1.536996942013502121e-02
4.428571428571428825e+00,1.390695106238126755e-02
4.500000000000000000e+00,1.270654983818531036e-02
