h,l,type,s2,s2_err
5.500000e-01,1,novel,6.174893e-01,9.619426e-03
6.000000e-01,1,novel,6.008760e-01,7.465196e-03
6.500000e-01,1,novel,5.879241e-01,3.433880e-03
7.000000e-01,1,novel,5.702645e-01,5.363737e-03
7.500000e-01,1,novel,5.482862e-01,9.419824e-03
8.500000e-01,1,novel,4.857142e-01,1.287579e-02
9.000000e-01,1,novel,4.432221e-01,1.047433e-02
1.100000e+00,1,novel,2.570057e-01,2.158620e-03
1.150000e+00,1,novel,2.216591e-01,4.228745e-03
1.250000e+00,1,novel,1.735124e-01,1.006936e-02
1.300000e+00,1,novel,1.603869e-01,4.778323e-03
1.350000e+00,1,novel,1.454814e-01,5.398661e-03
1.400000e+00,1,novel,1.421979e-01,2.827549e-03
1.450000e+00,1,novel,1.316345e-01,4.647109e-03
5.000000e-01,1,support,6.342692e-01,1.071695e-02
8.000000e-01,1,support,5.069456e-01,8.297496e-03
9.500000e-01,1,support,3.919826e-01,7.105444e-03
1.000000e+00,1,support,3.505859e-01,1.180894e-02
1.050000e+00,1,support,3.041334e-01,6.806910e-03
1.200000e+00,1,support,2.016544e-01,8.673149e-03
1.500000e+00,1,support,1.172628e-01,6.719195e-03
5.500000e-01,2,novel,6.772960e-01,2.313999e-03
6.000000e-01,2,novel,6.724710e-01,2.128584e-03
6.500000e-01,2,novel,6.680734e-01,3.897558e-03
7.000000e-01,2,novel,6.632460e-01,2.404139e-02
7.500000e-01,2,novel,6.467513e-01,3.327994e-03
8.500000e-01,2,novel,5.979126e-01,6.735181e-03
9.000000e-01,2,novel,5.631975e-01,5.290197e-03
1.100000e+00,2,novel,3.225280e-01,8.793264e-03
1.150000e+00,2,novel,2.773861e-01,4.484954e-03
1.250000e+00,2,novel,2.101676e-01,7.043226e-03
1.300000e+00,2,novel,1.907232e-01,5.915182e-03
1.350000e+00,2,novel,1.748717e-01,7.089351e-03
1.400000e+00,2,novel,1.652161e-01,7.487064e-03
1.450000e+00,2,novel,1.495394e-01,3.281196e-03
5.000000e-01,2,support,6.930842e-01,3.744632e-03
8.000000e-01,2,support,6.192722e-01,6.290998e-03
9.500000e-01,2,support,5.128942e-01,9.965180e-03
1.000000e+00,2,support,4.553695e-01,2.101746e-02
1.050000e+00,2,support,3.872499e-01,8.545654e-03
1.200000e+00,2,support,2.588248e-01,8.487757e-03
1.500000e+00,2,support,1.401477e-01,5.587816e-03
5.500000e-01,3,novel,6.891975e-01,2.590912e-03
6.000000e-01,3,novel,6.919093e-01,4.423483e-03
6.500000e-01,3,novel,6.860350e-01,1.671993e-03
7.000000e-01,3,novel,6.865189e-01,2.270364e-03
7.500000e-01,3,novel,6.805789e-01,1.937086e-03
8.500000e-01,3,novel,6.501858e-01,4.753277e-03
9.000000e-01,3,novel,6.134915e-01,3.976083e-03
1.100000e+00,3,novel,3.674746e-01,2.321114e-03
1.150000e+00,3,novel,3.074821e-01,1.514504e-02
1.250000e+00,3,novel,2.300255e-01,1.133112e-02
1.300000e+00,3,novel,2.061480e-01,7.345380e-04
1.350000e+00,3,novel,1.861123e-01,7.229345e-03
1.400000e+00,3,novel,1.688891e-01,7.068474e-03
1.450000e+00,3,novel,1.570512e-01,3.794509e-03
5.000000e-01,3,support,6.986341e-01,4.465910e-03
8.000000e-01,3,support,6.659670e-01,1.069497e-02
9.500000e-01,3,support,5.654669e-01,1.361649e-02
1.000000e+00,3,support,4.988375e-01,8.289872e-03
1.050000e+00,3,support,4.186978e-01,9.050211e-03
1.200000e+00,3,support,2.605000e-01,1.031602e-02
1.500000e+00,3,support,1.409621e-01,7.169092e-03
5.500000e-01,4,novel,6.928309e-01,9.384353e-03
6.000000e-01,4,novel,6.976528e-01,5.908697e-03
6.500000e-01,4,novel,6.929245e-01,2.596269e-03
7.000000e-01,4,novel,6.989976e-01,2.170446e-03
7.500000e-01,4,novel,6.960205e-01,2.152179e-03
8.500000e-01,4,novel,6.764380e-01,2.236962e-02
9.000000e-01,4,novel,6.537023e-01,1.167124e-02
1.100000e+00,4,novel,3.855409e-01,2.162515e-03
1.150000e+00,4,novel,3.210351e-01,1.319161e-02
1.250000e+00,4,novel,2.334121e-01,3.424675e-03
1.300000e+00,4,novel,2.098687e-01,9.352386e-03
1.350000e+00,4,novel,1.858962e-01,8.759968e-03
1.400000e+00,4,novel,1.725441e-01,5.726036e-03
1.450000e+00,4,novel,1.626689e-01,9.602952e-04
5.000000e-01,4,support,6.990414e-01,4.122660e-03
8.000000e-01,4,support,6.871719e-01,6.606549e-03
9.500000e-01,4,support,5.939579e-01,1.784538e-02
1.000000e+00,4,support,5.311708e-01,1.439345e-02
1.050000e+00,4,support,4.573092e-01,1.525163e-02
1.200000e+00,4,support,2.681255e-01,7.518405e-03
1.500000e+00,4,support,1.378150e-01,6.104956e-03
5.500000e-01,5,novel,6.928604e-01,9.775998e-03
6.000000e-01,5,novel,6.987307e-01,6.169514e-03
6.500000e-01,5,novel,6.953518e-01,3.187636e-03
7.000000e-01,5,novel,7.015644e-01,1.738504e-03
7.500000e-01,5,novel,6.986352e-01,3.967066e-03
8.500000e-01,5,novel,6.877294e-01,5.351953e-03
9.000000e-01,5,novel,6.684119e-01,1.691741e-02
1.100000e+00,5,novel,4.022878e-01,4.505010e-03
1.150000e+00,5,novel,3.347115e-01,1.619182e-03
1.250000e+00,5,novel,2.444710e-01,1.295485e-03
1.300000e+00,5,novel,2.165363e-01,6.019735e-03
1.350000e+00,5,novel,1.905190e-01,1.093807e-02
1.400000e+00,5,novel,1.768504e-01,3.351950e-03
1.450000e+00,5,novel,1.630469e-01,3.975068e-03
5.000000e-01,5,support,6.998849e-01,4.200795e-03
8.000000e-01,5,support,6.950631e-01,4.553259e-03
9.500000e-01,5,support,6.197462e-01,1.996264e-02
1.000000e+00,5,support,5.620098e-01,1.162960e-02
1.050000e+00,5,support,4.727364e-01,2.248556e-02
1.200000e+00,5,support,2.812142e-01,6.087867e-03
1.500000e+00,5,support,1.418490e-01,2.766476e-03
5.500000e-01,6,novel,6.925466e-01,1.030734e-02
6.000000e-01,6,novel,6.988933e-01,6.415083e-03
6.500000e-01,6,novel,6.964447e-01,1.748345e-03
7.000000e-01,6,novel,7.031143e-01,1.026343e-03
7.500000e-01,6,novel,7.030355e-01,4.340491e-03
8.500000e-01,6,novel,6.967038e-01,2.948042e-02
9.000000e-01,6,novel,6.809805e-01,1.647631e-02
1.100000e+00,6,novel,4.102518e-01,8.835891e-03
1.150000e+00,6,novel,3.441028e-01,4.124424e-03
1.250000e+00,6,novel,2.496524e-01,4.383407e-03
1.300000e+00,6,novel,2.161805e-01,5.640548e-03
1.350000e+00,6,novel,1.899717e-01,5.963518e-03
1.400000e+00,6,novel,1.752215e-01,4.130039e-03
1.450000e+00,6,novel,1.589320e-01,4.354224e-03
5.000000e-01,6,support,6.991706e-01,4.301473e-03
8.000000e-01,6,support,7.002368e-01,3.403834e-03
9.500000e-01,6,support,6.378765e-01,1.680139e-02
1.000000e+00,6,support,5.736856e-01,1.606629e-02
1.050000e+00,6,support,4.842982e-01,1.672060e-02
1.200000e+00,6,support,2.797694e-01,8.401706e-03
1.500000e+00,6,support,1.421213e-01,7.048588e-03
5.500000e-01,7,novel,6.929627e-01,1.044508e-02
6.000000e-01,7,novel,6.990182e-01,4.896230e-03
6.500000e-01,7,novel,6.970614e-01,2.721766e-03
7.000000e-01,7,novel,7.032399e-01,1.159349e-03
7.500000e-01,7,novel,7.055922e-01,2.983879e-03
8.500000e-01,7,novel,7.012881e-01,1.916333e-02
9.000000e-01,7,novel,6.939686e-01,1.273942e-02
1.100000e+00,7,novel,4.195386e-01,1.828351e-02
1.150000e+00,7,novel,3.490409e-01,1.034391e-02
1.250000e+00,7,novel,2.518917e-01,5.310296e-03
1.300000e+00,7,novel,2.161122e-01,3.395163e-03
1.350000e+00,7,novel,1.916971e-01,1.375580e-02
1.400000e+00,7,novel,1.762634e-01,4.613786e-03
1.450000e+00,7,novel,1.606188e-01,3.251069e-03
5.000000e-01,7,support,6.996746e-01,4.018085e-03
8.000000e-01,7,support,7.019072e-01,3.266570e-03
9.500000e-01,7,support,6.455493e-01,1.469326e-02
1.000000e+00,7,support,5.838323e-01,1.741083e-02
1.050000e+00,7,support,4.926982e-01,8.471750e-03
1.200000e+00,7,support,2.801204e-01,1.066455e-02
1.500000e+00,7,support,1.433864e-01,5.911479e-03
5.500000e-01,8,novel,6.926147e-01,1.021645e-02
6.000000e-01,8,novel,6.988225e-01,6.536074e-03
6.500000e-01,8,novel,6.969095e-01,2.014494e-03
7.000000e-01,8,novel,7.038948e-01,1.326097e-03
7.500000e-01,8,novel,7.059119e-01,8.134710e-04
8.500000e-01,8,novel,7.058580e-01,1.874866e-02
9.000000e-01,8,novel,6.921717e-01,1.274957e-02
1.100000e+00,8,novel,4.250721e-01,9.417394e-03
1.150000e+00,8,novel,3.523541e-01,2.775295e-03
1.250000e+00,8,novel,2.473828e-01,4.847628e-03
1.300000e+00,8,novel,2.164814e-01,4.887610e-03
1.350000e+00,8,novel,1.895243e-01,1.103250e-02
1.400000e+00,8,novel,1.724652e-01,4.196036e-03
1.450000e+00,8,novel,1.596841e-01,3.598912e-03
5.000000e-01,8,support,6.996870e-01,4.318841e-03
8.000000e-01,8,support,7.018681e-01,3.590677e-03
9.500000e-01,8,support,6.470761e-01,2.076717e-02
1.000000e+00,8,support,5.945754e-01,1.678211e-02
1.050000e+00,8,support,4.874244e-01,1.642388e-02
1.200000e+00,8,support,2.799978e-01,1.063454e-02
1.500000e+00,8,support,1.451097e-01,6.418967e-03
