h,type,mz,mx
1.000000,support,0.963525,0.265547
1.500000,support,0.923375,0.378007
1.800000,novel,0.872275,0.483867
2.100000,support,0.814088,0.567009
2.400000,novel,0.704625,0.687623
2.600000,novel,0.620925,0.765990
2.800000,support,0.536812,0.829727
2.900000,novel,0.497550,0.856351
3.000000,support,0.465575,0.877342
3.100000,novel,0.435712,0.894055
3.300000,support,0.395750,0.918417
3.400000,novel,0.371038,0.931510
3.600000,support,0.344938,0.943829
3.800000,novel,0.310975,0.959278
4.000000,support,0.300238,0.962928
4.500000,novel,0.272775,0.974174
5.000000,support,0.263162,0.976759
5.500000,novel,0.255612,0.979547
6.000000,support,0.252825,0.982444
6.500000,novel,0.247488,0.984493
7.000000,support,0.244425,0.985529
