h,type,overlap_2000,overlap_10000,overlap_50000
1.000000,support,0.998867,0.999693,0.999863
1.500000,novel,0.997928,0.998346,0.999613
2.000000,support,0.996416,0.998368,0.999327
2.500000,novel,0.991587,0.996248,0.997202
2.800000,novel,0.989473,0.993682,0.997055
3.000000,support,0.989532,0.993853,0.998316
3.200000,novel,0.989920,0.995268,0.997921
3.500000,novel,0.990267,0.997134,0.998071
4.000000,support,0.991429,0.998151,0.998876
4.500000,novel,0.993088,0.998563,0.999087
5.000000,support,0.994331,0.998861,0.999209
5.500000,novel,0.995108,0.999015,0.999267
6.000000,support,0.995568,0.999037,0.999294
7.000000,support,0.995913,0.998860,0.999325
