h,chi_F
1.000000000000000000e+00,2.542093992233276367e-01
1.061224489795918435e+00,2.662229835987091064e-01
1.122448979591836649e+00,2.753194868564605713e-01
1.183673469387755084e+00,2.813657820224761963e-01
1.244897959183673519e+00,2.868117094039916992e-01
1.306122448979591955e+00,2.903183996677398682e-01
1.367346938775510168e+00,2.928992211818695068e-01
1.428571428571428603e+00,2.943443357944488525e-01
1.489795918367347038e+00,3.001527488231658936e-01
1.551020408163265252e+00,3.089449107646942139e-01
1.612244897959183687e+00,3.181129395961761475e-01
1.673469387755102122e+00,3.320248126983642578e-01
1.734693877551020336e+00,3.461420834064483643e-01
1.795918367346938771e+00,3.621907532215118408e-01
1.857142857142857206e+00,3.829943537712097168e-01
1.918367346938775420e+00,4.084208011627197266e-01
1.979591836734693855e+00,4.404329359531402588e-01
2.040816326530612290e+00,4.826853275299072266e-01
2.102040816326530503e+00,5.325127840042114258e-01
2.163265306122449161e+00,5.836065411567687988e-01
2.224489795918367374e+00,6.389772295951843262e-01
2.285714285714285587e+00,6.906090378761291504e-01
2.346938775510204245e+00,7.345089912414550781e-01
2.408163265306122458e+00,7.685986757278442383e-01
2.469387755102040671e+00,7.881591916084289551e-01
2.530612244897959329e+00,7.925316095352172852e-01
2.591836734693877542e+00,7.749748229980468750e-01
2.653061224489795755e+00,7.433037161827087402e-01
2.714285714285714413e+00,6.987013816833496094e-01
2.775510204081632626e+00,6.382637619972229004e-01
2.836734693877550839e+00,5.756563544273376465e-01
2.897959183673469497e+00,5.143045186996459961e-01
2.959183673469387710e+00,4.518881738185882568e-01
3.020408163265305923e+00,3.918339610099792480e-01
3.081632653061224580e+00,3.394486606121063232e-01
3.142857142857142794e+00,2.911754548549652100e-01
3.204081632653061007e+00,2.479126006364822388e-01
3.265306122448979664e+00,2.097899615764617920e-01
3.326530612244897878e+00,1.775902807712554932e-01
3.387755102040816091e+00,1.495801508426666260e-01
3.448979591836734748e+00,1.243415996432304382e-01
3.510204081632652962e+00,1.041863113641738892e-01
3.571428571428571175e+00,8.668221533298492432e-02
3.632653061224489832e+00,7.228430360555648804e-02
3.693877551020408045e+00,6.034713238477706909e-02
3.755102040816326259e+00,5.010705813765525818e-02
3.816326530612244916e+00,4.161185771226882935e-02
3.877551020408163129e+00,3.530849888920783997e-02
3.938775510204081343e+00,2.971185185015201569e-02
4.000000000000000000e+00,2.536018192768096924e-02
