h,l,type,s2,s2_err
5.000000e-01,1,support,6.222820e-01,7.694541e-03
5.000000e-01,2,support,6.825275e-01,6.413006e-04
5.000000e-01,3,support,6.901131e-01,1.684797e-03
5.000000e-01,4,support,6.914301e-01,2.299694e-03
5.000000e-01,5,support,6.914892e-01,2.347245e-03
5.000000e-01,6,support,6.917200e-01,2.239754e-03
5.000000e-01,7,support,6.924343e-01,2.223401e-03
5.000000e-01,8,support,6.918087e-01,2.433202e-03
5.500000e-01,1,novel,6.056595e-01,6.207676e-03
5.500000e-01,2,novel,6.801624e-01,8.276877e-04
5.500000e-01,3,novel,6.913414e-01,1.219668e-03
5.500000e-01,4,novel,6.925602e-01,1.101316e-03
5.500000e-01,5,novel,6.927452e-01,1.214445e-03
5.500000e-01,6,novel,6.925316e-01,1.093487e-03
5.500000e-01,7,novel,6.923113e-01,1.368320e-03
5.500000e-01,8,novel,6.924677e-01,1.200851e-03
6.000000e-01,1,novel,5.951176e-01,8.947029e-03
6.000000e-01,2,novel,6.724081e-01,3.834032e-03
6.000000e-01,3,novel,6.905785e-01,2.866854e-03
6.000000e-01,4,novel,6.935301e-01,1.824664e-03
6.000000e-01,5,novel,6.964102e-01,2.387058e-03
6.000000e-01,6,novel,6.959343e-01,2.204716e-03
6.000000e-01,7,novel,6.952696e-01,2.279120e-03
6.000000e-01,8,novel,6.958838e-01,2.012006e-03
6.500000e-01,1,novel,5.705566e-01,4.004910e-03
6.500000e-01,2,novel,6.558132e-01,9.277540e-03
6.500000e-01,3,novel,6.855812e-01,2.987519e-03
6.500000e-01,4,novel,6.920519e-01,9.397211e-04
6.500000e-01,5,novel,6.938448e-01,7.781481e-04
6.500000e-01,6,novel,6.940165e-01,1.434880e-03
6.500000e-01,7,novel,6.954937e-01,1.116024e-03
6.500000e-01,8,novel,6.949596e-01,5.985725e-04
7.000000e-01,1,novel,5.587416e-01,3.675203e-03
7.000000e-01,2,novel,6.614771e-01,2.529361e-03
7.000000e-01,3,novel,6.896305e-01,4.495126e-03
7.000000e-01,4,novel,7.001133e-01,1.654369e-03
7.000000e-01,5,novel,7.013569e-01,8.655403e-04
7.000000e-01,6,novel,7.012873e-01,1.178338e-03
7.000000e-01,7,novel,7.034960e-01,2.272748e-03
7.000000e-01,8,novel,7.048302e-01,2.663726e-03
7.500000e-01,1,novel,5.311203e-01,3.188481e-03
7.500000e-01,2,novel,6.412868e-01,1.012431e-02
7.500000e-01,3,novel,6.856861e-01,5.914401e-03
7.500000e-01,4,novel,6.953621e-01,2.975528e-03
7.500000e-01,5,novel,7.058210e-01,2.097485e-03
7.500000e-01,6,novel,7.079506e-01,2.593610e-03
7.500000e-01,7,novel,7.102623e-01,2.163856e-03
7.500000e-01,8,novel,7.097168e-01,2.211513e-03
8.000000e-01,1,support,5.017586e-01,1.114266e-02
8.000000e-01,2,support,6.188431e-01,3.363847e-03
8.000000e-01,3,support,6.704865e-01,7.056824e-03
8.000000e-01,4,support,6.822834e-01,2.041338e-03
8.000000e-01,5,support,6.974506e-01,9.627020e-03
8.000000e-01,6,support,7.024174e-01,2.962689e-03
8.000000e-01,7,support,7.071981e-01,2.988795e-03
8.000000e-01,8,support,7.074814e-01,6.865349e-04
8.500000e-01,1,novel,4.625168e-01,4.558898e-03
8.500000e-01,2,novel,5.879917e-01,3.418098e-03
8.500000e-01,3,novel,6.387291e-01,4.893230e-03
8.500000e-01,4,novel,6.606846e-01,5.311412e-03
8.500000e-01,5,novel,6.817932e-01,2.921859e-03
8.500000e-01,6,novel,6.928215e-01,5.693744e-03
8.500000e-01,7,novel,7.012005e-01,6.499800e-04
8.500000e-01,8,novel,7.022619e-01,1.918979e-03
9.000000e-01,1,novel,4.506874e-01,1.241118e-02
9.000000e-01,2,novel,5.559902e-01,7.492291e-03
9.000000e-01,3,novel,6.201315e-01,7.440700e-03
9.000000e-01,4,novel,6.485834e-01,7.535468e-03
9.000000e-01,5,novel,6.739712e-01,1.134884e-02
9.000000e-01,6,novel,6.794262e-01,4.991763e-03
9.000000e-01,7,novel,7.020092e-01,6.444715e-03
9.000000e-01,8,novel,6.989336e-01,6.829829e-03
9.500000e-01,1,support,3.920269e-01,8.545548e-03
9.500000e-01,2,support,5.058670e-01,7.412852e-03
9.500000e-01,3,support,5.681086e-01,1.027109e-02
9.500000e-01,4,support,5.968094e-01,1.501572e-03
9.500000e-01,5,support,6.199923e-01,5.103427e-03
9.500000e-01,6,support,6.277294e-01,1.114755e-02
9.500000e-01,7,support,6.464453e-01,6.377325e-03
9.500000e-01,8,support,6.404762e-01,4.515176e-03
1.000000e+00,1,support,3.511868e-01,5.151845e-03
1.000000e+00,2,support,4.522324e-01,5.553572e-03
1.000000e+00,3,support,5.026417e-01,8.407078e-03
1.000000e+00,4,support,5.357075e-01,5.240365e-03
1.000000e+00,5,support,5.594120e-01,4.775486e-03
1.000000e+00,6,support,5.634441e-01,6.168377e-03
1.000000e+00,7,support,5.723953e-01,6.594160e-03
1.000000e+00,8,support,5.881109e-01,6.939875e-03
1.050000e+00,1,support,3.032894e-01,5.579778e-03
1.050000e+00,2,support,3.941612e-01,7.541379e-03
1.050000e+00,3,support,4.352779e-01,1.145793e-02
1.050000e+00,4,support,4.627781e-01,9.281332e-03
1.050000e+00,5,support,4.876595e-01,1.218305e-02
1.050000e+00,6,support,4.936495e-01,1.655186e-02
1.050000e+00,7,support,5.073452e-01,1.297645e-02
1.050000e+00,8,support,4.986286e-01,6.370524e-03
1.100000e+00,1,novel,2.604904e-01,5.319960e-03
1.100000e+00,2,novel,3.299942e-01,2.588753e-03
1.100000e+00,3,novel,3.622322e-01,1.383395e-03
1.100000e+00,4,novel,3.826218e-01,1.339687e-03
1.100000e+00,5,novel,3.954887e-01,4.005282e-03
1.100000e+00,6,novel,4.061413e-01,2.308987e-03
1.100000e+00,7,novel,4.050989e-01,2.991888e-03
1.100000e+00,8,novel,4.081306e-01,3.761403e-03
