h,l,type,s2,seed,model_file
5.000000e-01,1,support,6.101627e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,2,support,6.813717e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,3,support,6.893530e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,4,support,6.895866e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,5,support,6.896458e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,6,support,6.896572e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,7,support,6.895943e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,8,support,6.899672e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,1,novel,6.027164e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,2,novel,6.818686e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,3,novel,6.930008e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,4,novel,6.942616e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,5,novel,6.945019e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,6,novel,6.944332e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,7,novel,6.951780e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,8,novel,6.949244e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,1,novel,5.775547e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,2,novel,6.695251e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,3,novel,6.858540e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,4,novel,6.918983e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,5,novel,6.915550e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,6,novel,6.918259e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,7,novel,6.921196e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,8,novel,6.927862e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,1,novel,5.705566e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,2,novel,6.558132e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,3,novel,6.855812e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,4,novel,6.903982e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,5,novel,6.926498e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,6,novel,6.920576e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,7,novel,6.931658e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,8,novel,6.941566e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,1,novel,5.587416e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,2,novel,6.614771e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,3,novel,6.896305e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,4,novel,7.001133e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,5,novel,7.013569e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,6,novel,7.012873e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,7,novel,7.034960e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,8,novel,7.048302e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,1,novel,5.295849e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,2,novel,6.238222e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,3,novel,6.856861e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,4,novel,6.953621e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,5,novel,7.058210e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,6,novel,7.079506e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,7,novel,7.102623e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,8,novel,7.095222e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,1,support,5.017586e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,2,support,6.238937e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,3,support,6.704865e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,4,support,6.856899e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,5,support,6.974506e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,6,support,7.024174e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,7,support,7.071981e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,8,support,7.074814e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,1,novel,4.646606e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,2,novel,5.887833e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,3,novel,6.387291e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,4,novel,6.708355e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,5,novel,6.798573e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,6,novel,6.851368e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,7,novel,7.015476e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.500000e-01,8,novel,7.022610e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,1,novel,4.535065e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,2,novel,5.614395e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
9.000000e-01,3,novel,6.201315e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
