h,l,type,s2,seed,model_file
5.000000e-01,1,support,6.354427e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,2,support,6.892824e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,3,support,6.945610e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,4,support,6.951332e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,5,support,6.950035e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,6,support,6.945095e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,7,support,6.961651e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.000000e-01,8,support,6.972237e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,1,novel,6.298656e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,2,novel,6.896172e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,3,novel,6.975155e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,4,novel,6.975727e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,5,novel,6.984711e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,6,novel,6.980286e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,7,novel,6.970997e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
5.500000e-01,8,novel,6.979599e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,1,novel,5.801811e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,2,novel,6.646442e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,3,novel,6.758871e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,4,novel,6.778450e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,5,novel,6.775513e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,6,novel,6.771793e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,7,novel,6.792412e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.000000e-01,8,novel,6.794205e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,1,novel,5.707741e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,2,novel,6.477737e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,3,novel,6.685791e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,4,novel,6.792698e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,5,novel,6.809978e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,6,novel,6.819553e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,7,novel,6.836052e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
6.500000e-01,8,novel,6.842089e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,1,novel,5.446634e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,2,novel,6.053209e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,3,novel,6.745110e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,4,novel,6.851463e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,5,novel,6.910410e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,6,novel,6.903505e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,7,novel,6.926365e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.000000e-01,8,novel,6.910563e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,1,novel,5.278873e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,2,novel,6.438046e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,3,novel,6.772118e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,4,novel,6.927538e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,5,novel,6.915073e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,6,novel,6.930294e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,7,novel,6.970139e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
7.500000e-01,8,novel,7.014771e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,1,support,5.214357e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,2,support,6.314287e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
8.000000e-01,3,support,6.747894e-01,43,hyprbm_tfim_16_20000_seed43_20260205_212254.pt
