h,chi_F,chi_F_err
1.000000e+00,1.271377e-01,1.132330e-02
1.071429e+00,1.420706e-01,1.172214e-02
1.142857e+00,1.594646e-01,6.861571e-03
1.214286e+00,1.841223e-01,7.902195e-03
1.285714e+00,2.014284e-01,7.801560e-03
1.357143e+00,2.129372e-01,3.335266e-03
1.428571e+00,2.307192e-01,2.886533e-03
1.500000e+00,2.437991e-01,5.146538e-03
1.571429e+00,2.619362e-01,2.072868e-03
1.642857e+00,2.776386e-01,5.226867e-03
1.714286e+00,2.941626e-01,7.421066e-03
1.785714e+00,2.981353e-01,7.269780e-03
1.857143e+00,3.097897e-01,8.157706e-03
1.928571e+00,3.165514e-01,6.762742e-03
2.000000e+00,3.284702e-01,3.701192e-03
2.071429e+00,3.328223e-01,4.850703e-03
2.142857e+00,3.378727e-01,9.605820e-03
2.214286e+00,3.346291e-01,1.611370e-02
2.285714e+00,3.255328e-01,1.732791e-02
2.357143e+00,3.125204e-01,2.156841e-02
2.428571e+00,2.942556e-01,2.306643e-02
2.500000e+00,2.773276e-01,2.589235e-02
2.571429e+00,2.589165e-01,2.240677e-02
2.642857e+00,2.413487e-01,1.957091e-02
2.714286e+00,2.201133e-01,1.551815e-02
2.785714e+00,2.009595e-01,1.008273e-02
2.857143e+00,1.827463e-01,4.076577e-03
2.928571e+00,1.613072e-01,1.876242e-03
3.000000e+00,1.426049e-01,4.403139e-03
3.071429e+00,1.256736e-01,7.216935e-03
3.142857e+00,1.091822e-01,9.025286e-03
3.214286e+00,9.357058e-02,1.027555e-02
3.285714e+00,8.119366e-02,1.043769e-02
3.357143e+00,7.028131e-02,1.038555e-02
3.428571e+00,5.996238e-02,9.511495e-03
3.500000e+00,4.999219e-02,7.886022e-03
3.571429e+00,4.222972e-02,6.628614e-03
3.642857e+00,3.508700e-02,4.899635e-03
3.714286e+00,2.915552e-02,3.296218e-03
3.785714e+00,2.438143e-02,2.099402e-03
3.857143e+00,2.022783e-02,8.022830e-04
3.928571e+00,1.795431e-02,6.949845e-04
4.000000e+00,1.482371e-02,1.774022e-03
4.071429e+00,1.257580e-02,2.555445e-03
4.142857e+00,1.032185e-02,3.173735e-03
4.214286e+00,8.572275e-03,3.695173e-03
4.285714e+00,7.283628e-03,3.954778e-03
4.357143e+00,6.094946e-03,4.233770e-03
4.428571e+00,5.113427e-03,4.426755e-03
4.500000e+00,4.305188e-03,4.458773e-03
