h,chi_F,seed,model_file
1.000000e+00,1.271377e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.071429e+00,1.420706e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.142857e+00,1.594646e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.214286e+00,1.841223e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.285714e+00,2.014284e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.357143e+00,2.129372e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.428571e+00,2.322376e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.500000e+00,2.500420e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.571429e+00,2.663193e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.642857e+00,2.776386e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.714286e+00,2.941626e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.785714e+00,2.950920e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.857143e+00,3.097897e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
1.928571e+00,3.153309e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.000000e+00,3.207418e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.071429e+00,3.240888e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.142857e+00,3.216913e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.214286e+00,3.133748e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.285714e+00,3.124031e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.357143e+00,2.995152e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.428571e+00,2.893818e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.500000e+00,2.773276e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.571429e+00,2.574085e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.642857e+00,2.370241e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.714286e+00,2.201133e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.785714e+00,1.989291e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.857143e+00,1.796543e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
2.928571e+00,1.613072e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.000000e+00,1.426049e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.071429e+00,1.256736e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.142857e+00,1.101877e-01,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.214286e+00,9.690930e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.285714e+00,8.452529e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.357143e+00,7.285239e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.428571e+00,6.173135e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.500000e+00,5.242687e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.571429e+00,4.456325e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.642857e+00,3.742150e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.714286e+00,3.098802e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.785714e+00,2.569755e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.857143e+00,2.141120e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
3.928571e+00,1.795431e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.000000e+00,1.482371e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.071429e+00,1.257580e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.142857e+00,1.032185e-02,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.214286e+00,8.572275e-03,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.285714e+00,7.283628e-03,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.357143e+00,6.094946e-03,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.428571e+00,5.113427e-03,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
4.500000e+00,4.305188e-03,44,hyprbm_tfim_3x3_20000_suscept_seed44_20260206_035652.pt
