h,type,mag_z,mag_x
1.000000e+00,support,9.677750e-01,2.509466e-01
1.500000e+00,novel,9.139750e-01,4.034806e-01
1.800000e+00,novel,8.531250e-01,5.173927e-01
2.000000e+00,novel,7.996750e-01,5.920792e-01
2.200000e+00,novel,7.315750e-01,6.711140e-01
2.400000e+00,novel,6.460750e-01,7.503235e-01
2.600000e+00,novel,5.639375e-01,8.137038e-01
2.800000e+00,novel,4.803000e-01,8.697422e-01
3.000000e+00,novel,4.118125e-01,9.094251e-01
3.200000e+00,novel,3.687250e-01,9.324699e-01
3.400000e+00,novel,3.419875e-01,9.453399e-01
3.600000e+00,novel,3.184000e-01,9.557475e-01
3.800000e+00,novel,3.166125e-01,9.584547e-01
4.000000e+00,support,3.075375e-01,9.615998e-01
4.200000e+00,novel,3.055375e-01,9.622602e-01
4.500000e+00,novel,2.980875e-01,9.655514e-01
5.000000e+00,novel,2.855000e-01,9.703077e-01
5.500000e+00,novel,2.691875e-01,9.778820e-01
6.000000e+00,novel,2.561750e-01,9.827515e-01
6.500000e+00,novel,2.478000e-01,9.863032e-01
7.000000e+00,support,2.389250e-01,9.893084e-01
