h,type,mag_z,mag_x
1.000000e+00,support,9.679125e-01,2.504913e-01
1.500000e+00,novel,9.313625e-01,3.608062e-01
1.800000e+00,novel,8.917750e-01,4.447151e-01
2.000000e+00,novel,8.470625e-01,5.186024e-01
2.200000e+00,novel,7.900375e-01,5.949305e-01
2.400000e+00,novel,7.144375e-01,6.810401e-01
2.600000e+00,novel,6.329500e-01,7.558202e-01
2.800000e+00,novel,5.502875e-01,8.174893e-01
3.000000e+00,support,4.737250e-01,8.704320e-01
3.200000e+00,novel,4.149875e-01,9.040014e-01
3.400000e+00,novel,3.659750e-01,9.298612e-01
3.600000e+00,novel,3.377000e-01,9.445605e-01
3.800000e+00,novel,3.119000e-01,9.557926e-01
4.000000e+00,novel,2.954500e-01,9.629729e-01
4.200000e+00,novel,2.819250e-01,9.695268e-01
4.500000e+00,novel,2.739500e-01,9.730717e-01
5.000000e+00,support,2.622625e-01,9.783181e-01
5.500000e+00,novel,2.586875e-01,9.822216e-01
6.000000e+00,novel,2.465875e-01,9.857681e-01
6.500000e+00,novel,2.403875e-01,9.878236e-01
7.000000e+00,support,2.411750e-01,9.895740e-01
