h,type,overlap_2000,overlap_5000,overlap_20000
1.000000e+00,support,9.993128e-01,9.995201e-01,9.996869e-01
1.500000e+00,novel,9.978181e-01,9.987301e-01,9.993014e-01
2.000000e+00,support,9.939412e-01,9.973522e-01,9.990066e-01
2.500000e+00,novel,9.814841e-01,9.930016e-01,9.978923e-01
2.800000e+00,novel,9.758030e-01,9.907789e-01,9.974862e-01
3.000000e+00,support,9.747297e-01,9.907591e-01,9.977127e-01
3.200000e+00,novel,9.752247e-01,9.912761e-01,9.978872e-01
3.500000e+00,novel,9.772975e-01,9.921887e-01,9.980257e-01
4.000000e+00,support,9.816846e-01,9.937537e-01,9.985092e-01
4.500000e+00,novel,9.856523e-01,9.948188e-01,9.988146e-01
5.000000e+00,support,9.886627e-01,9.955606e-01,9.989809e-01
5.500000e+00,novel,9.907966e-01,9.961287e-01,9.990867e-01
6.000000e+00,support,9.922470e-01,9.965351e-01,9.991357e-01
6.500000e+00,novel,9.931991e-01,9.968123e-01,9.991353e-01
7.000000e+00,support,9.937732e-01,9.969710e-01,9.990860e-01
