h,mag_z,mag_x,mag_z_err,mag_x_err
1.000000e+00,9.673750e-01,2.529988e-01,5.137012e-04,2.302812e-03
1.500000e+00,9.288750e-01,3.671095e-01,1.300374e-03,4.547580e-03
1.800000e+00,8.881250e-01,4.537785e-01,3.734691e-03,7.877734e-03
2.000000e+00,8.377500e-01,5.349454e-01,4.958508e-03,5.980067e-03
2.200000e+00,7.890000e-01,6.054958e-01,6.226902e-03,6.054962e-03
2.400000e+00,7.116250e-01,6.821320e-01,1.862458e-03,4.386699e-03
2.600000e+00,6.188750e-01,7.599512e-01,3.346329e-03,2.763751e-03
2.800000e+00,5.481250e-01,8.180737e-01,5.248015e-03,2.250109e-03
3.000000e+00,4.677500e-01,8.711144e-01,6.296769e-03,4.083886e-03
3.200000e+00,4.153750e-01,9.046165e-01,3.106333e-03,8.086818e-04
3.400000e+00,3.808750e-01,9.261347e-01,9.782176e-03,2.428058e-03
3.600000e+00,3.346250e-01,9.429420e-01,8.295539e-03,4.549570e-03
3.800000e+00,3.137500e-01,9.519116e-01,1.337766e-02,4.877639e-03
4.000000e+00,3.065000e-01,9.609610e-01,1.136347e-02,4.144241e-03
4.200000e+00,2.815000e-01,9.683171e-01,6.210710e-03,1.080049e-03
4.500000e+00,2.802500e-01,9.704471e-01,6.895047e-03,2.218060e-03
5.000000e+00,2.642500e-01,9.735574e-01,4.249183e-03,2.378458e-03
5.500000e+00,2.598750e-01,9.787045e-01,7.090438e-03,3.846316e-03
6.000000e+00,2.473750e-01,9.827837e-01,1.359126e-03,1.292177e-03
6.500000e+00,2.438750e-01,9.864832e-01,8.187898e-03,2.899261e-03
7.000000e+00,2.376250e-01,9.894716e-01,5.971285e-03,7.745933e-04
