h,type,mag_z,mag_x
1.000000e+00,support,9.681250e-01,2.492354e-01
1.500000e+00,novel,9.315000e-01,3.582188e-01
1.800000e+00,novel,8.881250e-01,4.537785e-01
2.000000e+00,support,8.377500e-01,5.349454e-01
2.200000e+00,novel,7.898750e-01,6.025774e-01
2.400000e+00,novel,7.112500e-01,6.890491e-01
2.600000e+00,novel,6.188750e-01,7.599512e-01
2.800000e+00,novel,5.508750e-01,8.180737e-01
3.000000e+00,support,4.677500e-01,8.711144e-01
3.200000e+00,novel,4.097500e-01,9.060065e-01
3.400000e+00,novel,3.602500e-01,9.288991e-01
3.600000e+00,novel,3.293750e-01,9.499593e-01
3.800000e+00,novel,3.137500e-01,9.549158e-01
4.000000e+00,support,3.123750e-01,9.562001e-01
4.200000e+00,novel,2.930000e-01,9.673147e-01
4.500000e+00,novel,2.802500e-01,9.687114e-01
5.000000e+00,support,2.717500e-01,9.735574e-01
5.500000e+00,novel,2.598750e-01,9.758128e-01
6.000000e+00,support,2.476250e-01,9.852106e-01
6.500000e+00,novel,2.438750e-01,9.829667e-01
7.000000e+00,support,2.376250e-01,9.894716e-01
