h,type,mag_z,mag_x
1.000000e+00,support,9.678750e-01,2.497008e-01
1.500000e+00,novel,9.145000e-01,4.001659e-01
1.800000e+00,novel,8.536250e-01,5.149258e-01
2.000000e+00,novel,7.998750e-01,5.930479e-01
2.200000e+00,novel,7.371250e-01,6.655124e-01
2.400000e+00,novel,6.440000e-01,7.546088e-01
2.600000e+00,novel,5.622500e-01,8.169785e-01
2.800000e+00,novel,4.860000e-01,8.678278e-01
3.000000e+00,novel,4.152500e-01,9.078801e-01
3.200000e+00,novel,3.565000e-01,9.379810e-01
3.400000e+00,novel,3.328750e-01,9.506830e-01
3.600000e+00,novel,3.242500e-01,9.545532e-01
3.800000e+00,novel,2.980000e-01,9.644290e-01
4.000000e+00,support,3.078750e-01,9.623249e-01
4.200000e+00,novel,3.041250e-01,9.651054e-01
4.500000e+00,novel,2.957500e-01,9.652666e-01
5.000000e+00,novel,2.768750e-01,9.743116e-01
5.500000e+00,novel,2.678750e-01,9.773231e-01
6.000000e+00,novel,2.601250e-01,9.823690e-01
6.500000e+00,novel,2.516250e-01,9.833218e-01
7.000000e+00,support,2.423750e-01,9.894283e-01
