h,type,mag_z,mag_x
1.000000e+00,support,9.661250e-01,2.574721e-01
1.500000e+00,novel,9.333750e-01,3.516408e-01
1.800000e+00,novel,8.870000e-01,4.522846e-01
2.000000e+00,novel,8.403750e-01,5.289017e-01
2.200000e+00,novel,7.906250e-01,5.970979e-01
2.400000e+00,novel,7.105000e-01,6.866610e-01
2.600000e+00,novel,6.305000e-01,7.548204e-01
2.800000e+00,novel,5.530000e-01,8.174887e-01
3.000000e+00,support,4.746250e-01,8.726714e-01
3.200000e+00,novel,4.217500e-01,9.023604e-01
3.400000e+00,novel,3.683750e-01,9.302052e-01
3.600000e+00,novel,3.367500e-01,9.500238e-01
3.800000e+00,novel,3.055000e-01,9.578452e-01
4.000000e+00,novel,2.918750e-01,9.643518e-01
4.200000e+00,novel,2.810000e-01,9.690691e-01
4.500000e+00,novel,2.756250e-01,9.692897e-01
5.000000e+00,support,2.536250e-01,9.807280e-01
5.500000e+00,novel,2.557500e-01,9.817786e-01
6.000000e+00,novel,2.478750e-01,9.841926e-01
6.500000e+00,novel,2.441250e-01,9.827014e-01
7.000000e+00,support,2.310000e-01,9.905440e-01
