h,chi_F,seed,model_file
1.000000e+00,1.981512e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.071429e+00,2.211223e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.142857e+00,2.442465e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.214286e+00,2.700013e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.285714e+00,2.890059e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.357143e+00,3.121115e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.428571e+00,3.284083e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.500000e+00,3.555275e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.571429e+00,3.784875e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.642857e+00,4.028068e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.714286e+00,4.373750e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.785714e+00,4.518723e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.857143e+00,4.719434e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
1.928571e+00,4.942757e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.000000e+00,5.091155e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.071429e+00,5.422830e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.142857e+00,5.653021e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.214286e+00,5.655646e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.285714e+00,6.117943e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.357143e+00,6.585866e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.428571e+00,7.215757e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.500000e+00,8.042167e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.571429e+00,8.287549e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.642857e+00,8.522072e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.714286e+00,8.007684e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.785714e+00,7.101060e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.857143e+00,5.992280e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
2.928571e+00,4.915020e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.000000e+00,3.886938e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.071429e+00,2.949834e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.142857e+00,2.276224e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.214286e+00,1.845625e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.285714e+00,1.480309e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.357143e+00,1.248353e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.428571e+00,1.090077e-01,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.500000e+00,9.319165e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.571429e+00,8.238069e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.642857e+00,7.120570e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.714286e+00,6.018060e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.785714e+00,5.131664e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.857143e+00,4.186466e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
3.928571e+00,3.652864e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.000000e+00,2.911859e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.071429e+00,2.373384e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.142857e+00,1.973596e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.214286e+00,1.728180e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.285714e+00,1.432599e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.357143e+00,1.239675e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.428571e+00,1.092881e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
4.500000e+00,1.004800e-02,43,hyprbm_tfim_4x4_20000_suscept_seed43_20260207_011955.pt
