h,l,type,s2,s2_err
5.000000e-01,1,support,6.196994e-01,4.201009e-03
5.000000e-01,2,support,6.792649e-01,4.010358e-03
5.000000e-01,3,support,6.904887e-01,2.653355e-03
5.000000e-01,4,support,6.928909e-01,2.556487e-03
5.000000e-01,5,support,6.935036e-01,2.629727e-03
5.000000e-01,6,support,6.931474e-01,2.605018e-03
5.000000e-01,7,support,6.932196e-01,2.618972e-03
5.000000e-01,8,support,6.931456e-01,2.623440e-03
5.500000e-01,1,novel,6.174893e-01,4.246995e-03
5.500000e-01,2,novel,6.772960e-01,3.335261e-03
5.500000e-01,3,novel,6.891975e-01,3.128560e-03
5.500000e-01,4,novel,6.928309e-01,3.284694e-03
5.500000e-01,5,novel,6.928604e-01,3.207524e-03
5.500000e-01,6,novel,6.925466e-01,3.266717e-03
5.500000e-01,7,novel,6.929627e-01,3.222269e-03
5.500000e-01,8,novel,6.926147e-01,3.265005e-03
6.000000e-01,1,novel,6.008760e-01,5.077135e-03
6.000000e-01,2,novel,6.724710e-01,6.537141e-03
6.000000e-01,3,novel,6.919093e-01,2.564220e-03
6.000000e-01,4,novel,6.976528e-01,2.383928e-03
6.000000e-01,5,novel,6.987307e-01,2.470500e-03
6.000000e-01,6,novel,6.988933e-01,2.400795e-03
6.000000e-01,7,novel,6.990182e-01,2.433917e-03
6.000000e-01,8,novel,6.988225e-01,2.380446e-03
6.500000e-01,1,novel,5.879241e-01,3.255988e-03
6.500000e-01,2,novel,6.680734e-01,2.992882e-03
6.500000e-01,3,novel,6.860350e-01,2.447569e-03
6.500000e-01,4,novel,6.929245e-01,2.441626e-03
6.500000e-01,5,novel,6.953518e-01,2.344346e-03
6.500000e-01,6,novel,6.964447e-01,2.641098e-03
6.500000e-01,7,novel,6.970614e-01,2.613070e-03
6.500000e-01,8,novel,6.969095e-01,2.693801e-03
7.000000e-01,1,novel,5.702645e-01,2.997969e-03
7.000000e-01,2,novel,6.632460e-01,2.365502e-03
7.000000e-01,3,novel,6.865189e-01,2.308072e-03
7.000000e-01,4,novel,6.989976e-01,2.097242e-03
7.000000e-01,5,novel,7.015644e-01,2.224304e-03
7.000000e-01,6,novel,7.031143e-01,2.059156e-03
7.000000e-01,7,novel,7.032399e-01,2.080755e-03
