h,type,mag_z,mag_x
1.000000e+00,support,9.676630e-01,2.517060e-01
1.500000e+00,novel,9.311130e-01,3.618830e-01
1.800000e+00,novel,8.877880e-01,4.543100e-01
2.000000e+00,support,8.426000e-01,5.275860e-01
2.200000e+00,novel,7.841500e-01,6.069150e-01
2.400000e+00,novel,7.105500e-01,6.861120e-01
2.600000e+00,novel,6.288380e-01,7.596720e-01
2.800000e+00,novel,5.452870e-01,8.220230e-01
3.000000e+00,support,4.703000e-01,8.714480e-01
3.200000e+00,novel,4.174880e-01,9.029030e-01
3.400000e+00,novel,3.763370e-01,9.234510e-01
3.600000e+00,novel,3.470880e-01,9.383670e-01
3.800000e+00,novel,3.223250e-01,9.495570e-01
4.000000e+00,support,3.054630e-01,9.583290e-01
4.200000e+00,novel,2.946500e-01,9.630160e-01
4.500000e+00,novel,2.816500e-01,9.692860e-01
5.000000e+00,support,2.699250e-01,9.753310e-01
5.500000e+00,novel,2.599880e-01,9.810650e-01
6.000000e+00,support,2.479630e-01,9.842300e-01
6.500000e+00,novel,2.431620e-01,9.864950e-01
7.000000e+00,support,2.395380e-01,9.886580e-01
