h,type,mag_z,mag_z_err,mag_x,mag_x_err
1.000000e+00,support,9.676870e-01,7.530000e-04,2.518050e-01,2.808000e-03
1.500000e+00,novel,9.281250e-01,3.507000e-03,3.710360e-01,9.606000e-03
1.800000e+00,novel,8.861250e-01,4.360000e-03,4.595520e-01,9.280000e-03
2.000000e+00,support,8.443750e-01,6.038000e-03,5.269390e-01,8.199000e-03
2.200000e+00,novel,7.873130e-01,7.236000e-03,6.024410e-01,6.832000e-03
2.400000e+00,novel,7.185000e-01,1.192100e-02,6.806430e-01,1.076000e-02
2.600000e+00,novel,6.301250e-01,1.695100e-02,7.554840e-01,1.222800e-02
2.800000e+00,novel,5.505630e-01,1.058900e-02,8.163240e-01,9.584000e-03
3.000000e+00,support,4.717500e-01,1.172100e-02,8.674850e-01,7.065000e-03
3.200000e+00,novel,4.177500e-01,1.145200e-02,9.016910e-01,5.999000e-03
3.400000e+00,novel,3.753750e-01,7.206000e-03,9.243590e-01,3.442000e-03
3.600000e+00,novel,3.461880e-01,1.023000e-02,9.426790e-01,4.773000e-03
3.800000e+00,novel,3.271870e-01,6.237000e-03,9.487430e-01,2.911000e-03
4.000000e+00,support,3.110620e-01,9.497000e-03,9.552500e-01,5.077000e-03
4.200000e+00,novel,2.938750e-01,6.790000e-03,9.640270e-01,2.727000e-03
4.500000e+00,novel,2.788750e-01,6.952000e-03,9.695890e-01,3.241000e-03
5.000000e+00,support,2.680630e-01,5.622000e-03,9.775420e-01,2.758000e-03
5.500000e+00,novel,2.575000e-01,3.848000e-03,9.808420e-01,2.193000e-03
6.000000e+00,support,2.507500e-01,6.820000e-03,9.849340e-01,1.833000e-03
6.500000e+00,novel,2.400620e-01,4.623000e-03,9.873870e-01,1.870000e-03
7.000000e+00,support,2.358130e-01,5.656000e-03,9.887710e-01,1.626000e-03
