h,type,mag_z,mag_z_err,mag_x,mag_x_err
1.000000e+00,support,9.671870e-01,2.209000e-03,2.532830e-01,8.346000e-03
1.500000e+00,novel,9.170000e-01,4.470000e-03,3.953200e-01,1.041300e-02
1.800000e+00,novel,8.622500e-01,8.972000e-03,4.994800e-01,1.521500e-02
2.000000e+00,novel,8.114380e-01,1.432000e-02,5.733930e-01,1.888300e-02
2.200000e+00,novel,7.576250e-01,1.898500e-02,6.394230e-01,2.143200e-02
2.400000e+00,novel,6.974380e-01,2.652700e-02,7.079400e-01,2.513700e-02
2.600000e+00,novel,6.124380e-01,3.195900e-02,7.792350e-01,2.447600e-02
2.800000e+00,novel,5.290000e-01,2.955500e-02,8.355850e-01,1.794500e-02
3.000000e+00,novel,4.571870e-01,2.966700e-02,8.833560e-01,1.833000e-02
3.200000e+00,novel,4.084380e-01,1.839800e-02,9.148550e-01,9.145000e-03
3.400000e+00,novel,3.606250e-01,1.392100e-02,9.380430e-01,6.273000e-03
3.600000e+00,novel,3.329380e-01,1.023200e-02,9.507300e-01,5.831000e-03
3.800000e+00,novel,3.245630e-01,1.020300e-02,9.545510e-01,5.109000e-03
4.000000e+00,support,3.125000e-01,9.948000e-03,9.609160e-01,4.317000e-03
4.200000e+00,novel,3.034380e-01,6.778000e-03,9.631250e-01,3.281000e-03
4.500000e+00,novel,2.962500e-01,6.403000e-03,9.659530e-01,2.569000e-03
5.000000e+00,novel,2.885000e-01,7.365000e-03,9.708140e-01,3.368000e-03
5.500000e+00,novel,2.688750e-01,6.556000e-03,9.782620e-01,2.520000e-03
6.000000e+00,novel,2.578120e-01,6.630000e-03,9.825410e-01,2.050000e-03
6.500000e+00,novel,2.465630e-01,4.302000e-03,9.874340e-01,1.839000e-03
7.000000e+00,support,2.366870e-01,6.159000e-03,9.905660e-01,1.626000e-03
