h,type,mag_z,mag_z_err,mag_x,mag_x_err
1.000000e+00,support,9.676870e-01,1.838000e-03,2.516830e-01,6.591000e-03
1.500000e+00,novel,9.240000e-01,2.941000e-03,3.788480e-01,6.651000e-03
1.800000e+00,novel,8.768750e-01,5.429000e-03,4.722260e-01,8.483000e-03
2.000000e+00,novel,8.350000e-01,7.427000e-03,5.412440e-01,8.628000e-03
2.200000e+00,novel,7.822500e-01,1.200300e-02,6.115770e-01,1.154000e-02
2.400000e+00,novel,7.165000e-01,1.681200e-02,6.853950e-01,1.502300e-02
2.600000e+00,novel,6.243120e-01,1.757000e-02,7.647380e-01,1.256600e-02
2.800000e+00,novel,5.336250e-01,9.955000e-03,8.296810e-01,8.627000e-03
3.000000e+00,support,4.730630e-01,8.033000e-03,8.710540e-01,4.460000e-03
3.200000e+00,novel,4.116880e-01,8.419000e-03,9.076980e-01,3.964000e-03
3.400000e+00,novel,3.551250e-01,1.041600e-02,9.340270e-01,5.794000e-03
3.600000e+00,novel,3.345620e-01,8.904000e-03,9.445420e-01,5.022000e-03
3.800000e+00,novel,3.166250e-01,8.749000e-03,9.549450e-01,3.485000e-03
4.000000e+00,novel,2.991870e-01,8.932000e-03,9.610440e-01,3.227000e-03
4.200000e+00,novel,2.866880e-01,9.453000e-03,9.686500e-01,4.106000e-03
4.500000e+00,novel,2.773130e-01,5.135000e-03,9.721980e-01,1.575000e-03
5.000000e+00,support,2.642500e-01,7.354000e-03,9.775500e-01,2.323000e-03
5.500000e+00,novel,2.565630e-01,4.130000e-03,9.819520e-01,2.372000e-03
6.000000e+00,novel,2.487500e-01,6.679000e-03,9.860270e-01,1.955000e-03
6.500000e+00,novel,2.441880e-01,5.168000e-03,9.886730e-01,2.553000e-03
7.000000e+00,support,2.353130e-01,4.499000e-03,9.911170e-01,1.726000e-03
