h,type,overlap_2000,overlap_2000_err,overlap_5000,overlap_5000_err,overlap_20000,overlap_20000_err
1.000000e+00,support,9.988150e-01,1.880000e-04,9.994920e-01,8.200000e-05,9.997880e-01,2.500000e-05
1.500000e+00,novel,9.977020e-01,2.230000e-04,9.988640e-01,1.130000e-04,9.989480e-01,3.700000e-04
2.000000e+00,support,9.935910e-01,1.321000e-03,9.973400e-01,1.970000e-04,9.989000e-01,1.770000e-04
2.500000e+00,novel,9.821340e-01,2.623000e-03,9.938860e-01,3.820000e-04,9.975460e-01,2.930000e-04
2.800000e+00,novel,9.780140e-01,1.712000e-03,9.920970e-01,4.920000e-04,9.975990e-01,3.120000e-04
3.000000e+00,support,9.779130e-01,1.381000e-03,9.912880e-01,5.620000e-04,9.977150e-01,2.420000e-04
3.200000e+00,novel,9.789440e-01,1.266000e-03,9.908500e-01,6.460000e-04,9.979310e-01,1.590000e-04
3.500000e+00,novel,9.812810e-01,1.277000e-03,9.911660e-01,6.270000e-04,9.982030e-01,9.400000e-05
4.000000e+00,support,9.853730e-01,1.148000e-03,9.925910e-01,4.540000e-04,9.985860e-01,9.000000e-05
4.500000e+00,novel,9.888320e-01,7.460000e-04,9.938060e-01,4.110000e-04,9.988830e-01,5.900000e-05
5.000000e+00,support,9.912500e-01,4.160000e-04,9.946220e-01,4.040000e-04,9.990530e-01,3.300000e-05
5.500000e+00,novel,9.928770e-01,2.970000e-04,9.952990e-01,3.750000e-04,9.991560e-01,3.200000e-05
6.000000e+00,support,9.936560e-01,3.270000e-04,9.958380e-01,3.470000e-04,9.992110e-01,3.400000e-05
7.000000e+00,support,9.939880e-01,4.720000e-04,9.965540e-01,3.050000e-04,9.992070e-01,4.900000e-05
