h,chi_F,chi_F_err
1.000000e+00,2.445551e-01,1.445901e-02
1.071429e+00,2.659798e-01,1.626380e-02
1.142857e+00,2.792596e-01,1.335832e-02
1.214286e+00,2.969223e-01,1.659685e-02
1.285714e+00,3.084850e-01,1.594710e-02
1.357143e+00,3.238310e-01,2.159389e-02
1.428571e+00,3.362138e-01,2.536278e-02
1.500000e+00,3.521098e-01,2.633495e-02
1.571429e+00,3.656476e-01,3.045734e-02
1.642857e+00,3.783301e-01,2.992276e-02
1.714286e+00,3.877999e-01,2.829347e-02
1.785714e+00,3.957739e-01,2.582582e-02
1.857143e+00,4.044513e-01,2.145558e-02
1.928571e+00,4.221312e-01,2.127677e-02
2.000000e+00,4.508138e-01,1.809439e-02
2.071429e+00,4.780079e-01,3.059749e-02
2.142857e+00,5.085844e-01,4.031541e-02
2.214286e+00,5.695069e-01,4.467685e-02
2.285714e+00,6.367495e-01,5.153367e-02
2.357143e+00,7.256533e-01,5.122570e-02
2.428571e+00,8.016320e-01,5.175706e-02
2.500000e+00,8.652343e-01,6.640951e-02
2.571429e+00,8.974574e-01,7.606970e-02
2.642857e+00,8.707507e-01,9.337887e-02
2.714286e+00,8.050633e-01,8.083660e-02
2.785714e+00,7.023508e-01,6.553688e-02
2.857143e+00,5.886719e-01,4.732880e-02
2.928571e+00,4.652216e-01,3.117149e-02
3.000000e+00,3.674894e-01,3.060844e-02
3.071429e+00,3.059007e-01,3.014229e-02
3.142857e+00,2.413729e-01,2.930144e-02
3.214286e+00,1.979501e-01,2.367450e-02
3.285714e+00,1.650867e-01,2.041980e-02
3.357143e+00,1.367023e-01,1.418308e-02
3.428571e+00,1.159870e-01,1.130293e-02
3.500000e+00,9.985667e-02,8.207180e-03
3.571429e+00,8.708037e-02,6.077520e-03
3.642857e+00,7.269683e-02,5.337443e-03
3.714286e+00,6.327315e-02,4.261859e-03
3.785714e+00,5.377888e-02,4.970432e-03
3.857143e+00,4.637854e-02,5.493753e-03
3.928571e+00,3.842065e-02,5.971080e-03
4.000000e+00,3.311197e-02,5.516512e-03
4.071429e+00,2.932961e-02,4.720159e-03
4.142857e+00,2.552990e-02,3.961482e-03
4.214286e+00,2.178361e-02,3.734777e-03
4.285714e+00,1.891456e-02,3.530166e-03
4.357143e+00,1.622073e-02,3.313453e-03
4.428571e+00,1.389014e-02,2.770832e-03
4.500000e+00,1.240542e-02,2.523955e-03
