h,type,mag_z,mag_z_error,mag_x,mag_x_error
1.000000,support,0.963911,0.000951,0.262929,0.003372
1.500000,novel,0.932778,0.001425,0.347761,0.003587
2.000000,support,0.807756,0.002399,0.576710,0.003450
2.400000,novel,0.695178,0.002877,0.715110,0.003217
2.600000,novel,0.629889,0.003038,0.779331,0.002997
2.800000,support,0.573355,0.003047,0.831310,0.002679
2.900000,novel,0.545333,0.003042,0.855736,0.002526
3.000000,support,0.521222,0.002992,0.876352,0.002371
3.100000,novel,0.504622,0.002972,0.888170,0.002248
3.200000,novel,0.489333,0.002924,0.899163,0.002101
3.300000,support,0.467600,0.002864,0.914574,0.001960
3.400000,novel,0.461333,0.002833,0.920599,0.001870
3.600000,support,0.439133,0.002764,0.934402,0.001692
3.800000,novel,0.419111,0.002687,0.946576,0.001532
4.000000,support,0.404844,0.002648,0.955069,0.001435
4.500000,novel,0.379889,0.002549,0.967421,0.001205
5.000000,support,0.360600,0.002457,0.976572,0.001032
5.500000,novel,0.350222,0.002412,0.981254,0.000908
6.000000,support,0.332378,0.002324,0.987230,0.000794
6.500000,novel,0.330600,0.002277,0.988472,0.000719
7.000000,support,0.323067,0.002268,0.989668,0.000675
